"P0001000";"GOK-Root";"Geschichte";"lkl=p?";"History"
"P0521000";"P0520500";"Nachschlagewerke, Handbücher";"lkl=pil 000";"Factual Reference Works, Handbooks"
"P0522000";"P0520500";"Quellen";"lkl=pil 1?";"Primary Sources "
"P0523000";"P0520500";"Politische Geschichte";"lkl=pil 200 or lkl=pil 900";"Political History"
"P0524000";"P0520500";"Deutscher Bund 1849-1866/1871";"lkl=pil 210";"German Confederation 1849-1866/1871"
"P0525000";"P0520500";"Gründung des Reiches";"lkl=pil 220";"Founding of the German Empire"
"P0526000";"P0520500";"Außenpolitik 1871-1914";"lkl=pil 240";"Foreign Policy 1871-1914"
"P0527000";"P0520500";"Innenpolitik";"lkl=pil 260";"Domestic Policy"
"P0528000";"P0520500";"Gesellschaft";"lkl=pil 300";"Society"
"P0529000";"P0520500";"Kulturkampf";"lkl=pil 320";"Kulturkampf"
"P0530000";"P0520500";"Wirtschaft";"lkl=pil 4?";"Economy"
"P0531000";"P0520500";"Kultur";"lkl=pil 500";"Culture"
"P0532000";"P0520500";"Personen";"lkl=pil 800";"Biographies"
"P0532500";"P0428000";"Deutsche Zeitgeschichte (1918-) ";"lkl=pim? or lkl=pin? or lkl=pio? or lkl=pip? or lkl=piq? or lkl=pir?";"German Contemporary History (1918-) "
"P0533000";"P0532500";"Nachschlagewerke, Handbücher";"lkl=pim 000";"Factual Reference Works, Handbooks"
"P0534000";"P0532500";"Quellen";"lkl=pim 1?";"Primary Sources "
"P0535000";"P0532500";"Politische Geschichte";"lkl=pim 200 or lkl=pim 900";"Political History"
"P0536000";"P0532500";"Gesellschaft";"lkl=pim 300";"Society"
"P0537000";"P0532500";"Wirtschaft";"lkl=pim 400";"Economy"
"P0538000";"P0532500";"Kultur";"lkl=pim 500";"Culture"
"P0539000";"P0532500";"Personen";"lkl=pim 800";"Biographies"
"P0539500";"P0532500";"Deutsche Geschichte 1918-1945 ";"lkl=pin? or lkl=pio? or lkl=pip?";"Germany 1918-1945 "
"P0540000";"P0539500";"Nachschlagewerke, Handbücher";"lkl=pin 800";"Factual Reference Works, Handbooks"
"P0541000";"P0539500";"Quellen";"lkl=pin 1?";"Primary Sources "
"P0542000";"P0539500";"Politische Geschichte";"lkl=pin 200 or lkl=pin 900";"Political History"
"P0543000";"P0539500";"Gesellschaft";"lkl=pin 300";"Society"
"P0544000";"P0539500";"Wirtschaft";"lkl=pin 400";"Economy"
"P0545000";"P0539500";"Kultur";"lkl=pin 500";"Culture"
"P0546000";"P0539500";"Personen";"lkl=pin 800";"Biographies"
"P0546500";"P0532500";"Die Weimarer Republik (1918-1933) ";"lkl=pio?";"The Weimar Republic (1918-1933) "
"P0547000";"P0546500";"Nachschlagewerke, Handbücher ";"lkl=pio 000";"Factual Reference Works, Handbooks"
"P0548000";"P0546500";"Quellen";"lkl=pio 1?";"Primary Sources"
"P0549000";"P0546500";"Politische Geschichte";"lkl=pio 200 or lkl=pio 900";"Political History"
"P0550000";"P0546500";"Außenpolitik";"lkl=pio 220";"Foreign Policy"
"P0551000";"P0546500";"Innenpolitik";"lkl=pio 240";"Domestic Policy"
"P0552000";"P0546500";"Parteien";"lkl=pio 270";"Political Parties"
"P0553000";"P0546500";"Gesellschaft";"lkl=pio 300";"Society"
"P0554000";"P0546500";"Wirtschaft";"lkl=pio 400";"Economy"
"P0555000";"P0546500";"Kultur";"lkl=pio 500";"Culture"
"P0556000";"P0546500";"Personen";"lkl=pio 800";"Biographies"
"P0556500";"P0532500";"Das Dritte Reich (1933-1945) ";"lkl=pip?";"The Third Reich (1933-1945) "
"P0557000";"P0556500";"Nachschlagewerke, Handbücher";"lkl=pip 000";"Factual Reference Works, Handbooks"
"P0558000";"P0556500";"Quellen: übergreifende Sammlungen";"lkl=pip 100";"Primary Sources: comprehensive collections"
"P0559000";"P0556500";"Quellen: Spezialsammlungen";"lkl=pip 150";"Primary Sources: special collections"
"P0560000";"P0556500";"Politische Geschichte";"lkl=pip 200 or lkl=pip 900";"Political History"
"P0561000";"P0556500";"Außenpolitik";"lkl=pip 220";"Foreign Policy"
"P0562000";"P0556500";"Innenpolitik";"lkl=pip 240";"Domestic Policy"
"P0563000";"P0556500";"NSDAP und Verbände";"lkl=pip 250";"NSDAP and organisations"
"P0564000";"P0556500";"Nationalsozialistische Ideologie";"lkl=pip 360";"National Socialist Ideology"
"P0565000";"P0556500";"Terror, KZ, Euthanasie";"lkl=pip 270";"Terror, Concentration Camps, Euthanasia"
"P0566000";"P0556500";"Shoah: übergreifende Nachschlagewerke, Handbücher";"(lkl=pip 274 or lkl=pip 275) and (thm=handbuch? or thm=handbook? or thm=enzyklopäd? or thm=encyloped? or thm=diction? or thm=lexi?)";"Shoah: Comprehensive Reference Works, Handbooks "
"P0567000";"P0556500";"Shoah: Quellen";"(lkl=pip 1? and lkl=pip 275) or (lkl=pip 275 and (tit=source? or tit=document? or tit=quelle?))";"Shoah: Primary Sources "
"P0568000";"P0556500";"Shoah, Juden im nat.soz. Deutschland";"lkl=pip 275";"Shoah, Jews in Nazi Germany"
"P0569000";"P0556500";"Widerstand";"lkl=pip 280";"Resistance"
"P0570000";"P0556500";"Gesellschaft";"lkl=pip 300";"Society"
"P0571000";"P0556500";"Wirtschaft";"lkl=pip 400";"Economy"
"P0572000";"P0556500";"Kultur";"lkl=pip 500";"Culture"
"P0573000";"P0556500";"Personen";"lkl=pip 800";"Biographies"
"P0573500";"P0532500";"Die Bundesrepublik Deutschland (1945-) ";"lkl=piq?";"The Federal Republic of Germany (1945-) "
"P0574000";"P0573500";"Nachschlagewerke, Handbücher";"lkl=piq 000";"Factual Reference Works, Handbooks"
"P0575000";"P0573500";"Quellen: übergreifende Sammlungen";"lkl=piq 100";"Primary Sources: comprehensive collections"
"P0576000";"P0573500";"Quellen: Spezialsammlungen";"lkl=piq 150";"Primary Sources: special collections"
"P0577000";"P0573500";"Politische Geschichte";"lkl=piq 200";"Political History"
"P0578000";"P0573500";"Außenpolitik";"lkl=piq 205";"Foreign Policy"
"P0579000";"P0573500";"Wiedervereinigung und Deutschlandpolitik";"lkl=piq 208";"Reunification and the German Question"
"P0580000";"P0573500";"Deutschland und Amerika";"lkl=piq? and (thm=amerika? or thm=usa or thm=etats-uni?)";"Germany and America"
"P0581000";"P0573500";"Innenpolitik";"lkl=piq 210";"Domestic Policy"
"P0582000";"P0573500";"Parteien";"lkl=piq 217";"Political Parties"
"P0583000";"P0573500";"Deutschland 1945-1949";"lkl=piq 220";"Germany 1945-1949"
"P0584000";"P0573500";"1949-1969";"lkl=piq 230";"1949-1969"
"P0585000";"P0573500";"Außenpolitik";"lkl=piq 235";"Foreign Policy"
"P0586000";"P0573500";"Innenpolitik";"lkl=piq 240";"Domestic Policy"
"P0587000";"P0573500";"1969-1989";"lkl=piq 250";"1969-1989"
"P0588000";"P0573500";"Außenpolitik";"lkl=piq 255";"Foreign Policy"
"P0589000";"P0573500";"Innenpolitik";"lkl=piq 260";"Domestic Policy"
"P0590000";"P0573500";"1989-";"lkl=piq 270";"1989-"
"P0591000";"P0573500";"Außenpolitik";"lkl=piq 275";"Foreign Policy"
"P0592000";"P0573500";"Innenpolitik";"lkl=piq 280";"Domestic Policy"
"P0593000";"P0573500";"Gesellschaft";"lkl=piq 300";"Society"
"P0594000";"P0573500";"Nationalsozialismus und Vergangenheitsbewältigung";"(lkl=piq 300 or lkl=piq 500) and (thm=vergangenheitsbew? or thm=collective memor?)";"National Socialism and Coping with the Past"
"P0595000";"P0573500";"68er Bewegung";"sww=studentenbewegung";"The '68 Generation"
"P0596000";"P0573500";"Rote-Armee-Fraktion";"sww=rote-armee-fraktion";"Red-Army-Fraction"
"P0597000";"P0573500";"Wirtschaft";"lkl=piq 400";"Economy"
"P0598000";"P0573500";"Kultur";"lkl=piq 500";"Culture"
"P0599000";"P0573500";"Personen";"lkl=piq 800";"Biographies"
"P0600000";"P0573500";"Einzelbeiträge";"lkl=piq 900";"Miscellaneous"
"P0601000";"P0532500";"Die DDR (incl. Vorgeschichte 1945-1949)";"lkl=pir?";"The GDR (incl. previous history 1945-1949)"
"P0601500";"P0601000";"Handbücher und Nachschlagewerke";"lkl=pir 000";"Handbooks and Factual Reference Works"
"P0602000";"P0601000";"Quellen: übergreifende Sammlungen";"lkl=pir 100";"Primary Sources: comprehensive collections"
"P0603000";"P0601000";"Quellen: Spezialsammlungen";"lkl=pir 150";"Primary Sources: special collections"
"P0604000";"P0601000";"Politische Geschichte";"lkl=pir 200";"Political History"
"P0605000";"P0601000";"Außenpolitik";"lkl=pir 220";"Foreign Policy"
"P0606000";"P0601000";"Innenpolitik";"lkl=pir 240";"Domestic Policy"
"P0607000";"P0601000";"Staatssicherheit";"lkl=pir 250";"State Security"
"P0608000";"P0601000";"Gesellschaft";"lkl=pir 300";"Society"
"P0609000";"P0601000";"Wirtschaft";"lkl=pir 400";"Economy"
"P0610000";"P0601000";"Kultur";"lkl=pir 500";"Culture"
"P0611000";"P0601000";"Personen";"lkl=pir 800";"Biographies"
"P0612000";"P0601000";"Einzelbeiträge";"lkl=pir 900";"Miscellaneous"
"P0613000";"P0001000";"Geschichte der deutschen Länder und Städte";"lkl=pj?";"History of the German States and Cities"
"P0614000";"P0613000";"Nachschlagewerke, Handbücher";"lkl=pj 000";"Factual Reference Works, Handbooks"
"P0615000";"P0613000";"Quellen";"lkl=pj 1?";"Primary Sources "
"P0616000";"P0613000";"Politische Geschichte";"lkl=pj 2? or lkl=pj 300 or lkl=pj 400 or lkl=pj 500 or lkl=pj 900";"Political History"
"P0617000";"P0613000";"Stadt- und Ortsgeschichte";"lkl=pj 700";"Local History"
"P0618000";"P0614000";"Mittelalter";"lkl=pj 730";"Middle Ages"
"P0619000";"P0614000";"Geschichte der Hanse";"lkl=pj 740 or sww=hanse";"History of the Hanseatic League"
"P0620000";"P0614000";"Frühe Neuzeit";"lkl=pj 570";"Early modern period"
"P0621000";"P0614000";"19. und 20. Jahrhundert";"lkl=pj 760";"19th and 20th Century"
"P0622000";"P0613000";"Brandenburg, Preußen, Berlin";"lkl=pja?";"Brandenburg, Prussia, Berlin"
"P0622500";"P0622000";"Nachschlagewerke, Handbücher  ";"lkl=pja 000";"Factual Reference Works, Handbooks "
"P0623000";"P0622000";"Quellen";"lkl=pja 1?";"Primary Sources"
"P0624000";"P0622000";"Politische Geschichte";"lkl=pja 200 or lkl=pja 900";"Political History"
"P0625000";"P0622000";"Mittelalter";"lkl=pja 220";"Middle Ages"
"P0626000";"P0622000";"Frühe Neuzeit";"lkl=pja 240";"Early Modern Period"
"P0627000";"P0622000";"19. und 20. Jahrhundert";"lkl=pja 260";"19th and 20th Century"
"P0628000";"P0622000";"Gesellschaft";"lkl=pja 300";"Society"
"P0629000";"P0622000";"Wirtschaft";"lkl=pja 400";"Economy"
"P0630000";"P0622000";"Kultur";"lkl=pja 500";"Culture"
"P0631000";"P0622000";"Regionalgeschichte";"lkl=pja 600";"Regional Studies"
"P0632000";"P0622000";"Stadt- und Ortsgeschichte";"lkl=pja 700";"Local History"
"P0633000";"P0622000";"Berlin";"lkl=pja 700 and thm=berlin";"Berlin"
"P0634000";"P0622000";"Personen";"lkl=pja 800";"Biographies"
"P0635000";"P0613000";"Mecklenburg-Vorpommern, Pommern";"lkl=pjd?";"Mecklenburg-West Pommerania, Pommerania"
"P0635500";"P0635000";"Nachschlagewerke, Handbücher ";"lkl=pjd 000";"Factual Reference Works, Handbooks "
"P0636000";"P0635000";"Quellen";"lkl=pjd 1?";"Primary Sources "
"P0637000";"P0635000";"Politische Geschichte";"lkl=pjd 2? or lkl=pjd 900";"Political History"
"P0638000";"P0635000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pjd 300 or lkl=pjd 400 or lkl=pjd 500";"Society, Economy, Culture"
"P0639000";"P0635000";"Regionalgeschichte";"lkl=pjd 600";"Regional Studies"
"P0640000";"P0635000";"Stadt- und Ortsgeschichte";"lkl=pjd 700";"Local History"
"P0641000";"P0635000";"Personen";"lkl=pjd 800";"Biographies"
"P0642000";"P0613000";"Sachsen, Sachsen-Anhalt, Thüringen";"lkl=pjf?";"Saxony, Saxony-Anhalt, Thuringia"
"P0642500";"P0642000";"Nachschlagewerke, Handbücher ";"lkl=pjf 000";"Factual Reference Works, Handbooks "
"P0643000";"P0642000";"Quellen";"lkl=pjf 1?";"Primary Sources "
"P0644000";"P0642000";"Politische Geschichte";"lkl=pjf 200 or lkl=pjf 900";"Political History"
"P0645000";"P0642000";"Mittelalter";"lkl=pjf 220";"Middle Ages"
"P0646000";"P0642000";"Frühe Neuzeit";"lkl=pjf 240";"Early Modern Period"
"P0647000";"P0642000";"19. und 20. Jahrhundert";"lkl=pjf 260";"19th and 20th Century"
"P0648000";"P0642000";"Gesellschaft";"lkl=pjf 300";"Society"
"P0649000";"P0642000";"Wirtschaft";"lkl=pjf 400";"Economy"
"P0650000";"P0642000";"Kultur";"lkl=pjf 500";"Culture"
"P0651000";"P0642000";"Regionalgeschichte";"lkl=pjf 600";"Regional Studies"
"P0652000";"P0642000";"Stadt- und Ortsgeschichte";"lkl=pjf 700";"Local History"
"P0653000";"P0642000";"Personen";"lkl=pjf 800";"Biographies"
"P0654000";"P0613000";"Ostmitteleuropa";"lkl=pji?";"East Central Europe"
"P0654500";"P0654000";"Nachschlagewerke, Handbücher ";"lkl=pji 000";"Factual Reference Works, Handbooks "
"P0655000";"P0654000";"Quellen";"lkl=pji 1?";"Primary Sources "
"P0656000";"P0654000";"Politische Geschichte";"lkl=pji 2? or lkl=pji 9?";"Political History"
"P0657000";"P0654000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pji 300 or lkl=pji 400 or lkl=pji 500";"Society, Economy, Culture"
"P0658000";"P0654000";"Stadt- und Ortsgeschichte";"lkl=pji 700";"Local History"
"P0659000";"P0654000";"Personen";"lkl=pji 800";"Biographies"
"P0660000";"P0613000";"Schleswig-Holstein, Lübeck, Hamburg";"lkl=pjl?";"Schleswig-Holstein, Luebeck, Hamburg"
"P0660500";"P0660000";"Nachschlagewerke, Handbücher ";"lkl=pjl 000";"Factual Reference Works, Handbooks "
"P0661000";"P0660000";"Quellen";"lkl=pjl 1?";"Primary Sources "
"P0662000";"P0660000";"Politische Geschichte";"lkl=pjl 2? or lkl=pjl 900";"Political History"
"P0663000";"P0660000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pjl 300 or lkl=pjl 400 or lkl=pjl 500";"Society, Economy, Culture"
"P0664000";"P0660000";"Regionalgeschichte";"lkl=pjl 600";"Regional Studies"
"P0665000";"P0660000";"Stadt- und Ortsgeschichte";"lkl=pjl 700";"Local History"
"P0666000";"P0660000";"Hamburg";"lkl=pjl 700 and thm=hamburg";"Hamburg"
"P0667000";"P0660000";"Lübeck";"lkl=pjl 700 and thm=lübeck?";"Luebeck"
"P0668000";"P0660000";"Personen";"lkl=pjl 800";"Biographies"
"P0669000";"P0613000";"Niedersachsen, Bremen";"lkl=pjo?";"Lower Saxony, Bremen"
"P0669500";"P0669000";"Nachschlagewerke, Handbücher ";"lkl=pjo 000";"Factual Reference Works, Handbooks "
"P0670000";"P0669000";"Quellen: übergreifende Sammlungen";"lkl=pjo 100";"Primary Sources: comprehensive collections"
"P0671000";"P0669000";"Quellen: Spezialsammlungen";"lkl=pjo 150";"Primary Sources: special collections"
"P0672000";"P0669000";"Politische Geschichte";"lkl=pjo 200 or lkl=pjo 900";"Political History"
"P0673000";"P0669000";"Mittelalter";"lkl=pjo 220";"Middle Ages"
"P0674000";"P0669000";"Frühe Neuzeit";"lkl=pjo 240";"Early Modern Period"
"P0675000";"P0669000";"19. und 20. Jahrhundert";"lkl=pjo 260";"19th and 20th Century"
"P0676000";"P0669000";"Gesellschaft";"lkl=pjo 300";"Society"
"P0677000";"P0669000";"Wirtschaft";"lkl=pjo 400";"Economy"
"P0678000";"P0669000";"Kultur";"lkl=pjo 500";"Culture"
"P0679000";"P0669000";"Regionalgeschichte";"lkl=pjo 600";"Regional Studies"
"P0680000";"P0669000";"Stadt- und Ortsgeschichte";"lkl=pjo 700";"Local History"
"P0681000";"P0669000";"Braunschweig";"lkl=pjo 700 and thm=braunschweig?";"Brunswick"
"P0682000";"P0669000";"Göttingen";"lkl=pjo 700 and thm=götting?";"Goettingen"
"P0683000";"P0669000";"Hannover";"lkl=pjo 700 and thm=hannover";"Hanover"
"P0684000";"P0669000";"Personen";"lkl=pjo 800";"Biographies"
"P0685000";"P0613000";"Hessen";"lkl=pjq?";"Hesse"
"P0685500";"P0685000";"Nachschlagewerke, Handbücher ";"lkl=pjq 000";"Factual Reference Works, Handbooks "
"P0686000";"P0685000";"Quellen";"lkl=pjq 1?";"Primary Sources "
"P0687000";"P0685000";"Politische Geschichte";"lkl=pjq 2? or lkl=pjq 900";"Political History"
"P0688000";"P0685000";"Gesellschaft";"lkl=pjq 300";"Society"
"P0689000";"P0685000";"Wirtschaft";"lkl=pjq 400";"Economy"
"P0690000";"P0685000";"Kultur";"lkl=pjq 500";"Culture"
"P0691000";"P0685000";"Regionalgeschichte";"lkl=pjq 600";"Regional Studies"
"P0692000";"P0685000";"Stadt- und Ortsgeschichte";"lkl=pjq 700";"Local History"
"P0693000";"P0685000";"Frankfurt/Main";"lkl=pjq 700 and thm=frankfurt?";"Frankfurt/Main"
"P0694000";"P0685000";"Kassel";"lkl=pjq 700 and thm=kassel";"Kassel"
"P0695000";"P0685000";"Personen";"lkl=pjq 800";"Biographies"
"P0696000";"P0613000";"Nordrhein-Westfalen";"lkl=pjr?";"North Rhine-Westphalia"
"P0696500";"P0696000";"Nachschlagewerke, Handbücher ";"lkl=pjr 000";"Factual Reference Works, Handbooks "
"P0697000";"P0696000";"Quellen";"lkl=pjr 1?";"Primary Sources "
"P0698000";"P0696000";"Politische Geschichte";"lkl=pjr 2? or lkl=pjr 900";"Political History"
"P0699000";"P0696000";"Gesellschaft";"lkl=pjr 300";"Society"
"P0700000";"P0696000";"Wirtschaft";"lkl=pjr 400";"Economy"
"P0701000";"P0696000";"Kultur";"lkl=pjr 500";"Culture"
"P0702000";"P0696000";"Regionalgeschichte";"lkl=pjr 600";"Regional Studies"
"P0703000";"P0696000";"Stadt- und Ortsgeschichte";"lkl=pjr 700";"Local History"
"P0704000";"P0696000";"Köln";"lkl=pjr 700 and thm=köln?";"Cologne"
"P0705000";"P0696000";"Münster";"lkl=pjr 700 and thm=münster?";"Muenster"
"P0706000";"P0696000";"Personen";"lkl=pjr 800";"Biographies"
"P0707000";"P0613000";"Rheinland-Pfalz, Saarland";"lkl=pjt?";"Rhineland-Palatinate, Saarland"
"P0707500";"P0707000";"Nachschlagewerke, Handbücher ";"lkl=pjt 000";"Factual Reference Works, Handbooks "
"P0708000";"P0707000";"Quellen";"lkl=pjt 1?";"Primary Sources "
"P0709000";"P0707000";"Politische Geschichte";"lkl=pjt 2? or lkl=pjt 900";"Political History"
"P0710000";"P0707000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pjt 300 or lkl=pjt 400 or lkl=pjt 500";"Society, Economy, Culture"
"P0711000";"P0707000";"Regionalgeschichte";"lkl=pjt 600";"Regional Studies"
"P0712000";"P0707000";"Stadt- und Ortsgeschichte";"lkl=pjt 700";"Local History"
"P0713000";"P0707000";"Personen";"lkl=pjt 800";"Biographies"
"P0714000";"P0613000";"Baden-Württemberg";"lkl=pjv?";"Baden-Wuerttemberg"
"P0714500";"P0714000";"Nachschlagewerke, Handbücher ";"lkl=pjv 000";"Factual Reference Works, Handbooks "
"P0715000";"P0714000";"Quellen";"lkl=pjv 1?";"Primary Sources "
"P0716000";"P0714000";"Politische Geschichte";"lkl=pjv 200 or lkl=pjv 900";"Political History"
"P0717000";"P0714000";"Mittelalter";"lkl=pjv 220";"Middle Ages"
"P0718000";"P0714000";"Frühe Neuzeit";"lkl=pjv 240";"Early Modern Period"
"P0719000";"P0714000";"19. und 20. Jahrhundert";"lkl=pjv 260";"19th and 20th Century"
"P0720000";"P0714000";"Gesellschaft";"lkl=pjv 300";"Society"
"P0721000";"P0714000";"Wirtschaft";"lkl=pjv 400";"Economy"
"P0722000";"P0714000";"Kultur";"lkl=pjv 500";"Culture"
"P0723000";"P0714000";"Regionalgeschichte";"lkl=pjv 600";"Regional Studies"
"P0724000";"P0714000";"Stadt- und Ortsgeschichte";"lkl=pjv 700";"Local History"
"P0725000";"P0714000";"Personen";"lkl=pjv 800";"Biographies"
"P0726000";"P0613000";"Bayern";"lkl=pjy 000";"Bavaria"
"P0726500";"P0726000";"Nachschlagewerke, Handbücher ";"lkl=pjy?";"Factual Reference Works, Handbooks "
"P0727000";"P0726000";"Quellen";"lkl=pjy 1?";"Primary Sources "
"P0728000";"P0726000";"Politische Geschichte";"lkl=pjy 200 or lkl=pjy 900";"Political History"
"P0729000";"P0726000";"Mittelalter";"lkl=pjy 220";"Middle Ages"
"P0730000";"P0726000";"Frühe Neuzeit";"lkl=pjy 240";"Early Modern Period"
"P0731000";"P0726000";"19. und 20. Jahrhundert";"lkl=pjy 260";"19th and 20th Century"
"P0732000";"P0726000";"Gesellschaft";"lkl=pjy 300";"Society"
"P0733000";"P0726000";"Wirtschaft";"lkl=pjy 400";"Economy"
"P0734000";"P0726000";"Kultur";"lkl=pjy 500";"Culture"
"P0735000";"P0726000";"Regionalgeschichte";"lkl=pjy 600";"Regional Studies"
"P0736000";"P0726000";"Stadt- und Ortsgeschichte";"lkl=pjy 700";"Local History"
"P0737000";"P0726000";"München";"lkl=pjy 700 and thm=münchen?";"Munich"
"P0738000";"P0726000";"Nürnberg";"lkl=pjy 700 and thm=nürnberg?";"Nuremberg"
"P0739000";"P0726000";"Personen";"lkl=pjy 800";"Biographies"
"P0740000";"P0001000";"Geschichte der Schweiz und Österreichs";"lkl=pk? or lkl=pl?";"History of Switzerland and Austria"
"P0740500";"P0740000";"Geschichte der Schweiz";"lkl=pk?";"History of Switzerland"
"P0741000";"P0740500";"Nachschlagewerke, Handbücher";"lkl=pk 000";"Factual Reference Works, Handbooks"
"P0742000";"P0740500";"Quellen";"lkl=pk 1?";"Primary Sources "
"P0743000";"P0740500";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pk 200 or lkl=pk 300 or lkl=pk 400 or lkl=pk 500 or lkl=pk 900";"Political History, Society, Economy, Culture"
"P0744000";"P0740500";"Regionalgeschichte";"lkl=pk 600";"Regional Studies"
"P0745000";"P0740500";"Stadt- und Ortsgeschichte";"lkl=pk 700";"Local History"
"P0746000";"P0740000";"Geschichte der Schweiz im Mittelalter";"lkl=pkb?";"Switzerland in the Middle Ages"
"P0746500";"P0746000";"Nachschlagewerke, Handbücher ";"lkl=pkb 000";"Factual Reference Works, Handbooks "
"P0747000";"P0746000";"Quellen";"lkl=pkb 1?";"Primary Sources "
"P0748000";"P0746000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pkb 200 or lkl=pkb 300 or lkl=pkb 400 or lkl=pkb 500 or lkl=pkb 900";"Political History, Society, Economy, Culture"
"P0749000";"P0746000";"Regionalgeschichte";"lkl=pkb 600";"Regional Studies"
"P0750000";"P0746000";"Stadt- und Ortsgeschichte";"lkl=pkb 700";"Local History"
"P0751000";"P0746000";"Personen";"lkl=pkb 800";"Biographies"
"P0752000";"P0740000";"Geschichte der Schweiz in der Frühen Neuzeit";"lkl=pke?";"Switzerland in the Early Modern Period"
"P0752500";"P0752000";"Nachschlagewerke, Handbücher ";"lkl=pke 000";"Factual Reference Works, Handbooks "
"P0753000";"P0752000";"Quellen";"lkl=pke 1?";"Primary Sources "
"P0754000";"P0752000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pke 200 or lkl=pke 300 or lkl=pke 400 or lkl=pke 500 or lkl=pke 900";"Political History, Society, Economy, Culture"
"P0755000";"P0752000";"Regionalgeschichte";"lkl=pke 600";"Regional Studies"
"P0756000";"P0752000";"Stadt- und Ortsgeschichte";"lkl=pke 700";"Local History"
"P0757000";"P0752000";"Personen";"lkl=pke 800";"Biographies"
"P0758000";"P0740000";"Geschichte der Schweiz im 19. Jahrhundert";"lkl=pkh?";"Switzerland in the 19th Century"
"P0758500";"P0758000";"Nachschlagewerke, Handbücher ";"lkl=pkh 000";"Factual Reference Works, Handbooks "
"P0759000";"P0758000";"Quellen";"lkl=pkh 1?";"Primary Sources "
"P0760000";"P0758000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pkh 200 or lkl=pkh 300 or lkl=pkh 400 or lkl=pkh 500 or lkl=pkh 900";"Political History, Society, Economy, Culture"
"P0761000";"P0758000";"Regionalgeschichte";"lkl=pkh 600";"Regional Studies"
"P0762000";"P0758000";"Stadt- und Ortsgeschichte";"lkl=pkh 700";"Local History"
"P0763000";"P0758000";"Personen";"lkl=pkh 800";"Biographies"
"P0764000";"P0740000";"Geschichte der Schweiz im 20. Jahrhundert";"lkl=pkk?";"Switzerland in the 20th Century"
"P0764500";"P0764000";"Nachschlagewerke, Handbücher ";"lkl=pkk 000";"Factual Reference Works, Handbooks "
"P0765000";"P0764000";"Quellen";"lkl=pkk 1?";"Primary Sources "
"P0766000";"P0764000";"Politische Geschichte";"lkl=pkk 200 or lkl=pkk 900";"Political History"
"P0767000";"P0764000";"Gesellschaft, Wirtschaft, Kultur";"lkl=pkk 300 or lkl=pkk 400 or lkl=pkk 500";"Society, Economy, Culture"
"P0768000";"P0764000";"Regionalgeschichte";"lkl=pkk 600";"Regional Studies"
"P0769000";"P0764000";"Stadt- und Ortsgeschichte";"lkl=pkk 700";"Local History"
"P0770000";"P0764000";"Personen";"lkl=pkk 800";"Biographies"
"P0770500";"P0740000";"Geschichte Österreichs";"lkl=pl?";"History of Austria"
"P0771000";"P0770500";"Nachschlagewerke, Handbücher ";"lkl=pl 000";"Factual Reference Works, Handbooks "
"P0772000";"P0770500";"Quellen";"lkl=pl 1?";"Primary Sources "
"P0773000";"P0770500";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=pl 200 or lkl=pl 300 or lkl=pl 400 or lkl=pl 500 or lkl=pl 900";"Political History, Society, Economy, Culture"
"P0774000";"P0770500";"Regionalgeschichte";"lkl=pl 600";"Regional Studies"
"P0775000";"P0770500";"Stadt- und Ortsgeschichte";"lkl=pl 700";"Local History"
"P0776000";"P0740000";"Geschichte Österreichs im Mittelalter";"lkl=plb?";"Austria in the Middle Ages"
"P0776500";"P0776000";"Nachschlagewerke, Handbücher ";"lkl=plb 000";"Factual Reference Works, Handbooks "
"P0777000";"P0776000";"Quellen";"lkl=plb 1?";"Primary Sources "
"P0778000";"P0776000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=plb 200 or lkl=plb 300 or lkl=plb 400 or lkl=plb 500 or lkl=plb 900";"Political History, Society, Economy, Culture"
"P0779000";"P0776000";"Regionalgeschichte";"lkl=plb 600";"Regional Studies"
"P0780000";"P0776000";"Stadt- und Ortsgeschichte";"lkl=plb 700";"Local History"
"P0781000";"P0776000";"Personen";"lkl=plb 800";"Biographies"
"P0782000";"P0740000";"Geschichte Österreichs in der Frühen Neuzeit";"lkl=ple?";"Austria in the Early Modern Period"
"P0782500";"P0782000";"Nachschlagewerke, Handbücher ";"lkl=ple 000";"Factual Reference Works, Handbooks "
"P0783000";"P0782000";"Quellen";"lkl=ple 1?";"Primary Sources "
"P0784000";"P0782000";"Politische Geschichte, Gesellschaft, Wirtschaft, Kultur";"lkl=ple 200 or lkl=ple 300 or lkl=ple 400 or lkl=ple 500 or lkl=ple 900";"Political History, Society, Economy, Culture"
"P0785000";"P0782000";"Regionalgeschichte";"lkl=ple 600";"Regional Studies"
"P0786000";"P0782000";"Stadt- und Ortsgeschichte";"lkl=ple 700";"Local History"
