MSC;Root;MSC;(msc=0? or msc=1? or msc=2? or msc=3? or msc=4? or msc=5? or msc=6? or msc=7? or msc=8? or msc=9?)
68M20;68MXX;"Performance evaluation; queueing; scheduling";msc=68M20
68M99;68MXX;None of the above, but in this section;msc=68M99
68NXX;68-XX;Software;msc=68N?
68N01;68NXX;General;msc=68N01
68N15;68NXX;Programming languages;msc=68N15
68N17;68NXX;Logic programming;msc=68N17
68N18;68NXX;Functional programming and lambda calculus;msc=68N18
68N19;68NXX;Other programming techniques (object-oriented, sequential, concurrent, automatic, etc.);msc=68N19
68N20;68NXX;Compilers and interpreters;msc=68N20
68N25;68NXX;Operating systems;msc=68N25
68N30;68NXX;Mathematical aspects of software engineering (specification, verification, metrics, requirements, etc.);msc=68N30
68N99;68NXX;None of the above, but in this section;msc=68N99
68PXX;68-XX;Theory of data;msc=68P?
68P01;68PXX;General;msc=68P01
68P05;68PXX;Data structures;msc=68P05
68P10;68PXX;Searching and sorting;msc=68P10
68P15;68PXX;Database theory;msc=68P15
68P20;68PXX;Information storage and retrieval;msc=68P20
68P25;68PXX;Data encryption;msc=68P25
68P30;68PXX;Coding and information theory (compaction, compression, models of communication, encoding schemes, etc.);msc=68P30
68P99;68PXX;None of the above, but in this section;msc=68P99
68QXX;68-XX;Theory of computing;msc=68Q?
68Q01;68QXX;General;msc=68Q01
68Q05;68QXX;Models of computation (Turing machines, etc.);msc=68Q05
68Q10;68QXX;Modes of computation (nondeterministic, parallel, interactive, probabilistic, etc.);msc=68Q10
68Q15;68QXX;Complexity classes (hierarchies, relations among complexity classes, etc.);msc=68Q15
68Q17;68QXX;Computational difficulty of problems (lower bounds, completeness, difficulty of approximation, etc.);msc=68Q17
68Q19;68QXX;Descriptive complexity and finite models;msc=68Q19
68Q25;68QXX;Analysis of algorithms and problem complexity;msc=68Q25
68Q30;68QXX;Algorithmic information theory (Kolmogorov complexity, etc.);msc=68Q30
68Q32;68QXX;Computational learning theory;msc=68Q32
68Q42;68QXX;Grammars and rewriting systems;msc=68Q42
68Q45;68QXX;Formal languages and automata;msc=68Q45
68Q55;68QXX;Semantics;msc=68Q55
68Q60;68QXX;Specification and verification (program logics, model checking, etc.);msc=68Q60
68Q65;68QXX;"Abstract data types; algebraic specification";msc=68Q65
68Q70;68QXX;Algebraic theory of languages and automata;msc=68Q70
68Q80;68QXX;Cellular automata;msc=68Q80
68Q85;68QXX;Models and methods for concurrent and distributed computing (process algebras, bisimulation, transition nets, etc.);msc=68Q85
68Q99;68QXX;None of the above, but in this section;msc=68Q99
68RXX;68-XX;Discrete mathematics in relation to computer science;msc=68R?
68R01;68RXX;General;msc=68R01
68R05;68RXX;Combinatorics;msc=68R05
68R10;68RXX;Graph theory;msc=68R10
68R15;68RXX;Combinatorics on words;msc=68R15
68R99;68RXX;None of the above, but in this section;msc=68R99
68TXX;68-XX;Artificial intelligence;msc=68T?
68T01;68TXX;General;msc=68T01
68T05;68TXX;Learning and adaptive systems;msc=68T05
68T10;68TXX;Pattern recognition, speech recognition;msc=68T10
68T15;68TXX;Theorem proving (deduction, resolution, etc.);msc=68T15
68T20;68TXX;Problem solving (heuristics, search strategies, etc.);msc=68T20
68T27;68TXX;Logic in artificial intelligence;msc=68T27
68T30;68TXX;Knowledge representation;msc=68T30
68T35;68TXX;Languages and software systems (knowledge-based systems, expert systems, etc.);msc=68T35
68T37;68TXX;Reasoning under uncertainty;msc=68T37
68T40;68TXX;Robotics;msc=68T40
68T45;68TXX;Machine vision and scene understanding;msc=68T45
68T50;68TXX;Natural language processing;msc=68T50
68T99;68TXX;None of the above, but in this section;msc=68T99
68UXX;68-XX;Computing methodologies and applications;msc=68U?
68U01;68UXX;General;msc=68U01
68U05;68UXX;"Computer graphics; computational geometry";msc=68U05
68U07;68UXX;Computer-aided design;msc=68U07
68U10;68UXX;Image processing;msc=68U10
68U15;68UXX;"Text processing; mathematical typography";msc=68U15
68U20;68UXX;Simulation;msc=68U20
68U35;68UXX;Information systems (hypertext navigation, interfaces, decision support, etc.);msc=68U35
68U99;68UXX;None of the above, but in this section;msc=68U99
68WXX;68-XX;Algorithms;msc=68W?
68W01;68WXX;General;msc=68W01
68W05;68WXX;Nonnumerical algorithms;msc=68W05
68W10;68WXX;Parallel algorithms;msc=68W10
68W15;68WXX;Distributed algorithms;msc=68W15
68W20;68WXX;Randomized algorithms;msc=68W20
68W25;68WXX;Approximation algorithms;msc=68W25
68W30;68WXX;Symbolic computation and algebraic computation;msc=68W30
68W35;68WXX;VLSI algorithms;msc=68W35
68W40;68WXX;Analysis of algorithms;msc=68W40
68W99;68WXX;None of the above, but in this section;msc=68W99
;;;
;;;
7XXXX;MSC;Applications;(msc=7? or msc=8? or msc=90? or msc=91? or msc=92? or msc=93? or msc=94)
70-XX;7XXXX;Mechanics of particles and systems;msc=70?
70-00;70-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=70-00
70-01;70-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=70-01
70-02;70-XX;Research exposition (monographs, survey articles);msc=70-02
70-03;70-XX;Historical;msc=70-03
70-04;70-XX;Explicit machine computation and programs;msc=70-04
70-05;70-XX;Experimental work;msc=70-05
70-06;70-XX;Proceedings, conferences, collections, etc.;msc=70-06
70-08;70-XX;Computational methods;msc=70-08
70A05;70-XX;Axiomatics, foundations;msc=70A05
70BXX;70-XX;Kinematics;msc=70B?
70B05;70BXX;Kinematics of a particle;msc=70B05
70B10;70BXX;Kinematics of a rigid body;msc=70B10
70B15;70BXX;Mechanisms, robots;msc=70B15
70B99;70BXX;None of the above, but in this section;msc=70B99
70C20;70-XX;Statics;msc=70C20
70EXX;70-XX;Dynamics of a rigid body and of multibody systems;msc=70E?
70E05;70EXX;Motion of the gyroscope;msc=70E05
70E15;70EXX;Free motion of a rigid body;msc=70E15
70E17;70EXX;Motion of a rigid body with a fixed point;msc=70E17
70E18;70EXX;Motion of a rigid body in contact with a solid surface;msc=70E18
70E40;70EXX;Integrable cases of motion;msc=70E40
70E45;70EXX;Higher-dimensional generalizations;msc=70E45
70E50;70EXX;Stability problems;msc=70E50
70E55;70EXX;Dynamics of multibody systems;msc=70E55
70E60;70EXX;Robot dynamics and control;msc=70E60
70E99;70EXX;None of the above, but in this section;msc=70E99
70FXX;70-XX;Dynamics of a system of particles, including celestial mechanics;msc=70F?
70F05;70FXX;Two-body problems;msc=70F05
70F07;70FXX;Three-body problems;msc=70F07
70F10;70FXX;n-body problems;msc=70F10
70F15;70FXX;Celestial mechanics;msc=70F15
70F16;70FXX;Collisions in celestial mechanics, regularization;msc=70F16
70F17;70FXX;Inverse problems;msc=70F17
70F20;70FXX;Holonomic systems;msc=70F20
70F25;70FXX;Nonholonomic systems;msc=70F25
70F35;70FXX;Collision of rigid or pseudo-rigid bodies;msc=70F35
70F40;70FXX;Problems with friction;msc=70F40
70F45;70FXX;Infinite particle systems;msc=70F45
70F99;70FXX;None of the above, but in this section;msc=70F99
70GXX;70-XX;General models, approaches, and methods;msc=70G?
70G10;70GXX;"Generalized coordinates; event, impulse-energy, configuration, state, or phase space";msc=70G10
70G40;70GXX;Topological and differential-topological methods;msc=70G40
70G45;70GXX;Differential-geometric methods (tensors, connections, symplectic, Poisson, contact, Riemannian, nonholonomic, etc.);msc=70G45
70G55;70GXX;Algebraic geometry methods;msc=70G55
70G60;70GXX;Dynamical systems methods;msc=70G60
70G65;70GXX;Symmetries, Lie-group and Lie-algebra methods;msc=70G65
70G70;70GXX;Functional-analytic methods;msc=70G70
70G75;70GXX;Variational methods;msc=70G75
70G99;70GXX;None of the above, but in this section;msc=70G99
70HXX;70-XX;Hamiltonian and Lagrangian mechanics;msc=70H?
70H03;70HXX;Lagrange's equations;msc=70H03
70H05;70HXX;Hamilton's equations;msc=70H05
70H06;70HXX;Completely integrable systems and methods of integration;msc=70H06
70H07;70HXX;Nonintegrable systems;msc=70H07
70H08;70HXX;Nearly integrable Hamiltonian systems, KAM theory;msc=70H08
70H09;70HXX;Perturbation theories;msc=70H09
70H11;70HXX;Adiabatic invariants;msc=70H11
70H12;70HXX;Periodic and almost periodic solutions;msc=70H12
70H14;70HXX;Stability problems;msc=70H14
70H15;70HXX;Canonical and symplectic transformations;msc=70H15
70H20;70HXX;Hamilton-Jacobi equations;msc=70H20
70H25;70HXX;Hamilton's principle;msc=70H25
70H30;70HXX;Other variational principles;msc=70H30
70H33;70HXX;Symmetries and conservation laws, reverse symmetries, invariant manifolds and their bifurcations, reduction;msc=70H33
70H40;70HXX;Relativistic dynamics;msc=70H40
70H45;70HXX;Constrained dynamics, Dirac's theory of constraints;msc=70H45
70H50;70HXX;Higher-order theories;msc=70H50
70H99;70HXX;None of the above, but in this section;msc=70H99
70JXX;70-XX;Linear vibration theory;msc=70J?
70J10;70JXX;Modal analysis;msc=70J10
70J25;70JXX;Stability;msc=70J25
70J30;70JXX;Free motions;msc=70J30
70J35;70JXX;Forced motions;msc=70J35
70J40;70JXX;Parametric resonances;msc=70J40
70J50;70JXX;Systems arising from the discretization of structural vibration problems;msc=70J50
70J99;70JXX;None of the above, but in this section;msc=70J99
70KXX;70-XX;Nonlinear dynamics;msc=70K?
70K05;70KXX;Phase plane analysis, limit cycles;msc=70K05
70K20;70KXX;Stability;msc=70K20
70K25;70KXX;Free motions;msc=70K25
70K28;70KXX;Parametric resonances;msc=70K28
70K30;70KXX;Nonlinear resonances;msc=70K30
70K40;70KXX;Forced motions;msc=70K40
70K42;70KXX;Equilibria and periodic trajectories;msc=70K42
70K43;70KXX;Quasi-periodic motions and invariant tori;msc=70K43
70K44;70KXX;Homoclinic and heteroclinic trajectories;msc=70K44
70K45;70KXX;Normal forms;msc=70K45
70K50;70KXX;Bifurcations and instability;msc=70K50
70K55;70KXX;Transition to stochasticity (chaotic behavior);msc=70K55
70K60;70KXX;General perturbation schemes;msc=70K60
70K65;70KXX;Averaging of perturbations;msc=70K65
70K70;70KXX;Systems with slow and fast motions;msc=70K70
70K75;70KXX;Nonlinear modes;msc=70K75
70K99;70KXX;None of the above, but in this section;msc=70K99
70L05;70-XX;Random vibrations;msc=70L05
70M20;70-XX;Orbital mechanics;msc=70M20
70P05;70-XX;Variable mass, rockets;msc=70P05
70Q05;70-XX;Control of mechanical systems;msc=70Q05
70SX;70-XX;Classical field theories;msc=70S?
70S05;70SX;Lagrangian formalism and Hamiltonian formalism;msc=70S05
70S10;70SX;Symmetries and conservation laws;msc=70S10
70S15;70SX;Yang-Mills and other gauge theories;msc=70S15
70S20;70SX;More general nonquantum field theories;msc=70S20
70S99;70SX;None of the above, but in this section;msc=70S99
74-XX;7XXXX;Mechanics of deformable solids;msc=74?
74-00;74-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=74-00
74-01;74-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=74-01
74-02;74-XX;Research exposition (monographs, survey articles);msc=74-02
74-03;74-XX;Historical;msc=74-03
74-04;74-XX;Explicit machine computation and programs;msc=74-04
74-05;74-XX;Experimental work;msc=74-05
74-06;74-XX;Proceedings, conferences, collections, etc.;msc=74-06
74AXX;74-XX;Generalities, axiomatics, foundations of continuum mechanics of solids;msc=74A?
74A05;74AXX;Kinematics of deformation;msc=74A05
74A10;74AXX;Stress;msc=74A10
74A15;74AXX;Thermodynamics;msc=74A15
74A20;74AXX;Theory of constitutive functions;msc=74A20
74A25;74AXX;Molecular, statistical, and kinetic theories;msc=74A25
74A30;74AXX;Nonsimple materials;msc=74A30
74A35;74AXX;Polar materials;msc=74A35
74A40;74AXX;Random materials and composite materials;msc=74A40
74A45;74AXX;Theories of fracture and damage;msc=74A45
74A50;74AXX;Structured surfaces and interfaces, coexistent phases;msc=74A50
74A55;74AXX;Theories of friction (tribology);msc=74A55
74A60;74AXX;Micromechanical theories;msc=74A60
74A65;74AXX;Reactive materials;msc=74A65
74A99;74AXX;None of the above, but in this section;msc=74A99
74BXX;74-XX;Elastic materials;msc=74B?
74B05;74BXX;Classical linear elasticity;msc=74B05
74B10;74BXX;Linear elasticity with initial stresses;msc=74B10
74B15;74BXX;Equations linearized about a deformed state (small deformations superposed on large);msc=74B15
74B20;74BXX;Nonlinear elasticity;msc=74B20
74B99;74BXX;None of the above, but in this section;msc=74B99
74CXX;74-XX;Plastic materials, materials of stress-rate and internal-variable type;msc=74C?
74C05;74CXX;Small-strain, rate-independent theories (including rigid-plastic and elasto-plastic materials);msc=74C05
74C10;74CXX;Small-strain, rate-dependent theories (including theories of viscoplasticity);msc=74C10
74C15;74CXX;Large-strain, rate-independent theories (including nonlinear plasticity);msc=74C15
74C20;74CXX;Large-strain, rate-dependent theories;msc=74C20
74C99;74CXX;None of the above, but in this section;msc=74C99
74DXX;74-XX;Materials of strain-rate type and history type, other materials with memory (including elastic materials with viscous damping, various viscoelastic materials);msc=74D?
74D05;74DXX;Linear constitutive equations;msc=74D05
74D10;74DXX;Nonlinear constitutive equations;msc=74D10
74D99;74DXX;None of the above, but in this section;msc=74D99
74EXX;74-XX;Material properties given special treatment;msc=74E?
74E05;74EXX;Inhomogeneity;msc=74E05
74E10;74EXX;Anisotropy;msc=74E10
74E15;74EXX;Crystalline structure;msc=74E15
74E20;74EXX;Granularity;msc=74E20
74E25;74EXX;Texture;msc=74E25
74E30;74EXX;Composite and mixture properties;msc=74E30
74E35;74EXX;Random structure;msc=74E35
74E40;74EXX;Chemical structure;msc=74E40
74E99;74EXX;None of the above, but in this section;msc=74E99
74FXX;74-XX;Coupling of solid mechanics with other effects;msc=74F?
74F05;74FXX;Thermal effects;msc=74F05
74F10;74FXX;Fluid-solid interactions (including aero- and hydro-elasticity, porosity, etc.);msc=74F10
74F15;74FXX;Electromagnetic effects;msc=74F15
74F20;74FXX;Mixture effects;msc=74F20
74F25;74FXX;Chemical and reactive effects;msc=74F25
74F99;74FXX;None of the above, but in this section;msc=74F99
74GXX;74-XX;Equilibrium (steady-state) problems;msc=74G?
74G05;74GXX;Explicit solutions;msc=74G05
74G10;74GXX;Analytic approximation of solutions (perturbation methods, asymptotic methods, series, etc.);msc=74G10
74G15;74GXX;Numerical approximation of solutions;msc=74G15
74G20;74GXX;Local existence of solutions (near a given solution);msc=74G20
74G25;74GXX;Global existence of solutions;msc=74G25
74G30;74GXX;Uniqueness of solutions;msc=74G30
74G35;74GXX;Multiplicity of solutions;msc=74G35
74G40;74GXX;Regularity of solutions;msc=74G40
74G45;74GXX;Bounds for solutions;msc=74G45
74G50;74GXX;Saint-Venant's principle;msc=74G50
74G55;74GXX;Qualitative behavior of solutions;msc=74G55
74G60;74GXX;Bifurcation and buckling;msc=74G60
74G65;74GXX;Energy minimization;msc=74G65
74G70;74GXX;Stress concentrations, singularities;msc=74G70
74G75;74GXX;Inverse problems;msc=74G75
74G99;74GXX;None of the above, but in this section;msc=74G99
74HXX;74-XX;Dynamical problems;msc=74H?
74H05;74HXX;Explicit solutions;msc=74H05
74H10;74HXX;Analytic approximation of solutions (perturbation methods, asymptotic methods, series, etc.);msc=74H10
74H15;74HXX;Numerical approximation of solutions;msc=74H15
74H20;74HXX;Existence of solutions;msc=74H20
74H25;74HXX;Uniqueness of solutions;msc=74H25
74H30;74HXX;Regularity of solutions;msc=74H30
74H35;74HXX;Singularities, blowup, stress concentrations;msc=74H35
74H40;74HXX;Long-time behavior of solutions;msc=74H40
74H45;74HXX;Vibrations;msc=74H45
74H50;74HXX;Random vibrations;msc=74H50
74H55;74HXX;Stability;msc=74H55
74H60;74HXX;Dynamical bifurcation;msc=74H60
74H65;74HXX;Chaotic behavior;msc=74H65
74JXX;74-XX;Waves;msc=74J?
74J05;74JXX;Linear waves;msc=74J05
74J10;74JXX;Bulk waves;msc=74J10
74J15;74JXX;Surface waves;msc=74J15
74J20;74JXX;Wave scattering;msc=74J20
74J25;74JXX;Inverse problems;msc=74J25
74J30;74JXX;Nonlinear waves;msc=74J30
74J35;74JXX;Solitary waves;msc=74J35
74J40;74JXX;Shocks and related discontinuities;msc=74J40
74J99;74JXX;None of the above, but in this section;msc=74J99
74KXX;74-XX;Thin bodies, structures;msc=74K?
74K05;74KXX;Strings;msc=74K05
74K10;74KXX;Rods (beams, columns, shafts, arches, rings, etc.);msc=74K10
74K15;74KXX;Membranes;msc=74K15
74K20;74KXX;Plates;msc=74K20
74K25;74KXX;Shells;msc=74K25
74K30;74KXX;Junctions;msc=74K30
74K35;74KXX;Thin films;msc=74K35
74K99;74KXX;None of the above, but in this section;msc=74K99
74LXX;74-XX;Special subfields of solid mechanics;msc=74L?
74L05;74LXX;Geophysical solid mechanics;msc=74L05
74L10;74LXX;Soil and rock mechanics;msc=74L10
74L15;74LXX;Biomechanical solid mechanics;msc=74L15
74L99;74LXX;None of the above, but in this section;msc=74L99
74MXX;74-XX;Special kinds of problems;msc=74M?
74M10;74MXX;Friction;msc=74M10
74M15;74MXX;Contact;msc=74M15
74M20;74MXX;Impact;msc=74M20
74M25;74MXX;Micromechanics;msc=74M25
74M99;74MXX;None of the above, but in this section;msc=74M99
74NXX;74-XX;Phase transformations in solids;msc=74N?
74N05;74NXX;Crystals;msc=74N05
74N10;74NXX;Displacive transformations;msc=74N10
74N15;74NXX;Analysis of microstructure;msc=74N15
74N20;74NXX;Dynamics of phase boundaries;msc=74N20
74N25;74NXX;Transformations involving diffusion;msc=74N25
74N30;74NXX;Problems involving hysteresis;msc=74N30
74N99;74NXX;None of the above, but in this section;msc=74N99
74PXX;74-XX;Optimization;msc=74P?
74P05;74PXX;Compliance or weight optimization;msc=74P05
74P10;74PXX;Optimization of other properties;msc=74P10
74P15;74PXX;Topological methods;msc=74P15
74P20;74PXX;Geometrical methods;msc=74P20
74P99;74PXX;None of the above, but in this section;msc=74P99
74QXX;74-XX;Homogenization, determination of effective properties;msc=74Q?
74Q05;74QXX;Homogenization in equilibrium problems;msc=74Q05
74Q10;74QXX;Homogenization and oscillations in dynamical problems;msc=74Q10
74Q15;74QXX;Effective constitutive equations;msc=74Q15
74Q20;74QXX;Bounds on effective properties;msc=74Q20
74Q99;74QXX;None of the above, but in this section;msc=74Q99
74RXX;74-XX;Fracture and damage;msc=74R?
74R05;74RXX;Brittle damage;msc=74R05
74R10;74RXX;Brittle fracture;msc=74R10
74R15;74RXX;High-velocity fracture;msc=74R15
74R20;74RXX;Anelastic fracture and damage;msc=74R20
74R99;74RXX;None of the above, but in this section;msc=74R99
74SXX;74-XX;Numerical methods;msc=74S?
74S05;74SXX;Finite element methods;msc=74S05
74S10;74SXX;Finite volume methods;msc=74S10
74S15;74SXX;Boundary element methods;msc=74S15
74S20;74SXX;Finite difference methods;msc=74S20
74S25;74SXX;Spectral and related methods;msc=74S25
74S30;74SXX;Other numerical methods;msc=74S30
74S99;74SXX;None of the above, but in this section;msc=74S99
76-XX;7XXXX;Fluid mechanics;msc=76?
76-00;76-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=76-00
76-01;76-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=76-01
76-02;76-XX;Research exposition (monographs, survey articles);msc=76-02
76-03;76-XX;Historical;msc=76-03
76-04;76-XX;Explicit machine computation and programs;msc=76-04
76-05;76-XX;Experimental work;msc=76-05
76-06;76-XX;Proceedings, conferences, collections, etc.;msc=76-06
76AXX;76-XX;Foundations, constitutive equations, rheology;msc=76A?
76A02;76AXX;Foundations of fluid mechanics;msc=76A02
76A05;76AXX;Non-Newtonian fluids;msc=76A05
76A10;76AXX;Viscoelastic fluids;msc=76A10
76A15;76AXX;Liquid crystals;msc=76A15
76A20;76AXX;Thin fluid films;msc=76A20
76A25;76AXX;Superfluids (classical aspects);msc=76A25
76A99;76AXX;None of the above, but in this section;msc=76A99
76BXX;76-XX;Incompressible inviscid fluids;msc=76B?
76B03;76BXX;Existence, uniqueness, and regularity theory;msc=76B03
76B07;76BXX;Free-surface potential flows;msc=76B07
76B10;76BXX;Jets and cavities, cavitation, free-streamline theory, water-entry problems, airfoil and hydrofoil theory, sloshing;msc=76B10
76B15;76BXX;"Water waves, gravity waves; dispersion and scattering, nonlinear interaction";msc=76B15
76B20;76BXX;Ship waves;msc=76B20
76B25;76BXX;Solitary waves;msc=76B25
76B45;76BXX;Capillarity (surface tension);msc=76B45
76B47;76BXX;Vortex flows;msc=76B47
76B55;76BXX;Internal waves;msc=76B55
76B60;76BXX;Atmospheric waves;msc=76B60
76B65;76BXX;Rossby waves;msc=76B65
76B70;76BXX;Stratification effects in inviscid fluids;msc=76B70
76B75;76BXX;Flow control and optimization;msc=76B75
76B99;76BXX;None of the above, but in this section;msc=76B99
76DXX;76-XX;Incompressible viscous fluids;msc=76D?
76D03;76DXX;Existence, uniqueness, and regularity theory;msc=76D03
76D05;76DXX;Navier-Stokes equations;msc=76D05
76D06;76DXX;Statistical solutions of Navier-Stokes and related equations;msc=76D06
76D07;76DXX;Stokes and related (Oseen, etc.) flows;msc=76D07
76D08;76DXX;Lubrication theory;msc=76D08
76D09;76DXX;Viscous-inviscid interaction;msc=76D09
76D10;76DXX;Boundary-layer theory, separation and reattachment, higher-order effects;msc=76D10
76D17;76DXX;Viscous vortex flows;msc=76D17
76D25;76DXX;Wakes and jets;msc=76D25
76D27;76DXX;"Other free-boundary flows; Hele-Shaw flows";msc=76D27
76D33;76DXX;Waves;msc=76D33
76D45;76DXX;Capillarity (surface tension);msc=76D45
76D50;76DXX;Stratification effects in viscous fluids;msc=76D50
76D55;76DXX;Flow control and optimization;msc=76D55
76D99;76DXX;None of the above, but in this section;msc=76D99
76EXX;76-XX;Hydrodynamic stability;msc=76E?
76E05;76EXX;Parallel shear flows;msc=76E05
76E06;76EXX;Convection;msc=76E06
76E07;76EXX;Rotation;msc=76E07
76E09;76EXX;Stability and instability of nonparallel flows;msc=76E09
76E15;76EXX;Absolute and convective instability and stability;msc=76E15
76E17;76EXX;Interfacial stability and instability;msc=76E17
76E19;76EXX;Compressibility effects;msc=76E19
76E20;76EXX;Stability and instability of geophysical and astrophysical flows;msc=76E20
76E25;76EXX;Stability and instability of magnetohydrodynamic and electrohydrodynamic flows;msc=76E25
76E30;76EXX;Nonlinear effects;msc=76E30
76E99;76EXX;None of the above, but in this section;msc=76E99
76FXX;76-XX;Turbulence;msc=76F?
76F02;76FXX;Fundamentals;msc=76F02
76F05;76FXX;"Isotropic turbulence; homogeneous turbulence";msc=76F05
76F06;76FXX;Transition to turbulence;msc=76F06
76F10;76FXX;Shear flows;msc=76F10
76F20;76FXX;Dynamical systems approach to turbulence;msc=76F20
76F25;76FXX;Turbulent transport, mixing;msc=76F25
76F30;76FXX;Renormalization and other field-theoretical methods;msc=76F30
76F35;76FXX;Convective turbulence;msc=76F35
76F40;76FXX;Turbulent boundary layers;msc=76F40
76F45;76FXX;Stratification effects;msc=76F45
76F50;76FXX;Compressibility effects;msc=76F50
76F55;76FXX;Statistical turbulence modeling;msc=76F55
76F60;76FXX;k-ε modeling;msc=76F60
76F65;76FXX;Direct numerical and large eddy simulation of turbulence;msc=76F65
76F70;76FXX;Control of turbulent flows;msc=76F70
76F99;76FXX;None of the above, but in this section;msc=76F99
76G25;76-XX;General aerodynamics and subsonic flows;msc=76G25
76H05;76-XX;Transonic flows;msc=76H05
76J20;76-XX;Supersonic flows;msc=76J20
76K05;76-XX;Hypersonic flows;msc=76K05
76L05;76-XX;Shock waves and blast waves;msc=76L05
76MXX;76-XX;Basic methods in fluid mechanics;msc=76M?
76M10;76MXX;Finite element methods;msc=76M10
76M12;76MXX;Finite volume methods;msc=76M12
76M15;76MXX;Boundary element methods;msc=76M15
76M20;76MXX;Finite difference methods;msc=76M20
76M22;76MXX;Spectral methods;msc=76M22
76M23;76MXX;Vortex methods;msc=76M23
76M25;76MXX;Other numerical methods;msc=76M25
76M27;76MXX;Visualization algorithms;msc=76M27
76M28;76MXX;Particle methods and lattice-gas methods;msc=76M28
76M30;76MXX;Variational methods;msc=76M30
76M35;76MXX;Stochastic analysis;msc=76M35
76M40;76MXX;Complex-variables methods;msc=76M40
76M45;76MXX;Asymptotic methods, singular perturbations;msc=76M45
76M50;76MXX;Homogenization;msc=76M50
76M55;76MXX;Dimensional analysis and similarity;msc=76M55
76M60;76MXX;Symmetry analysis, Lie group and algebra methods;msc=76M60
76M99;76MXX;None of the above, but in this section;msc=76M99
76NXX;76-XX;Compressible fluids and gas dynamics, general;msc=76N?
76N10;76NXX;Existence, uniqueness, and regularity theory;msc=76N10
76N15;76NXX;Gas dynamics, general;msc=76N15
76N17;76NXX;Viscous-inviscid interaction;msc=76N17
76N20;76NXX;Boundary-layer theory;msc=76N20
76N25;76NXX;Flow control and optimization;msc=76N25
76N99;76NXX;None of the above, but in this section;msc=76N99
76P05;76-XX;Rarefied gas flows, Boltzmann equation;msc=76P05
76Q05;76-XX;Hydro- and aero-acoustics;msc=76Q05
76RXX;76-XX;Diffusion and convection;msc=76R?
76R05;76RXX;Forced convection;msc=76R05
76R10;76RXX;Free convection;msc=76R10
76R50;76RXX;Diffusion;msc=76R50
76R99;76RXX;None of the above, but in this section;msc=76R99
76S05;76-XX;"Flows in porous media; filtration; seepage";msc=76S05
76TXX;76-XX;Two-phase and multiphase flows;msc=76T?
76T10;76TXX;Liquid-gas two-phase flows, bubbly flows;msc=76T10
76T15;76TXX;Dusty-gas two-phase flows;msc=76T15
76T20;76TXX;Suspensions;msc=76T20
76T25;76TXX;Granular flows;msc=76T25
76T30;76TXX;Three or more component flows;msc=76T30
76T99;76TXX;None of the above, but in this section;msc=76T99
76U05;76-XX;Rotating fluids;msc=76U05
76V05;76-XX;Reaction effects in flows;msc=76V05
76W05;76-XX;Magnetohydrodynamics and electrohydrodynamics;msc=76W05
76X05;76-XX;"Ionized gas flow in electromagnetic fields; plasmic flow";msc=76?05
76Y05;76-XX;Quantum hydrodynamics and relativistic hydrodynamics;msc=76Y05
76ZXX;76-XX;Biological fluid mechanics;msc=76Z?
76Z05;76ZXX;Physiological flows;msc=76Z05
76Z10;76ZXX;Biopropulsion in water and in air;msc=76Z10
76Z99;76ZXX;None of the above, but in this section;msc=76Z99
78-XX;7XXXX;Optics, electromagnetic theory;msc=78?
78-00;78-XX;General reference works (handbooks, dictionaries, bibliographies, etc.);msc=78-00
78-01;78-XX;Instructional exposition (textbooks, tutorial papers, etc.);msc=78-01
78-02;78-XX;Research exposition (monographs, survey articles);msc=78-02
78-03;78-XX;Historical;msc=78-03
78-04;78-XX;Explicit machine computation and programs;msc=78-04
78-05;78-XX;Experimental work;msc=78-05
78-06;78-XX;Proceedings, conferences, collections, etc.;msc=78-06
78AXX;78-XX;General;msc=78A?
78A02;78AXX;Foundations;msc=78A02
78A05;78AXX;Geometric optics;msc=78A05
78A10;78AXX;Physical optics;msc=78A10
78A15;78AXX;Electron optics;msc=78A15
78A20;78AXX;Space charge waves;msc=78A20
78A25;78AXX;Electromagnetic theory, general;msc=78A25
78A30;78AXX;Electro- and magnetostatics;msc=78A30
78A35;78AXX;Motion of charged particles;msc=78A35
78A40;78AXX;Waves and radiation;msc=78A40
78A45;78AXX;Diffraction, scattering;msc=78A45
78A46;78AXX;Inverse scattering problems;msc=78A46
78A48;78AXX;"Composite media; random media";msc=78A48
78A50;78AXX;Antennas, wave-guides;msc=78A50
78A55;78AXX;Technical applications;msc=78A55
78A60;78AXX;Lasers, masers, optical bistability, nonlinear optics;msc=78A60
78A70;78AXX;Biological applications;msc=78A70
78A97;78AXX;Mathematically heuristic optics and electromagnetic theory;msc=78A97
78A99;78AXX;Miscellaneous topics;msc=78A99
78MXX;78-XX;Basic methods;msc=78M?
78M05;78MXX;Method of moments;msc=78M05
78M10;78MXX;Finite element methods;msc=78M10
78M15;78MXX;Boundary element methods;msc=78M15
78M20;78MXX;Finite difference methods;msc=78M20
78M25;78MXX;Other numerical methods;msc=78M25
